DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
13/03/24,00:00,301.2,301.49,298.7,298.85,24012100
14/03/24,00:00,298.5,298.7,295.14,295.83,42205930
15/03/24,00:00,295.71,299.44,295.29,298.3,26040280
18/03/24,00:00,299.4,299.98,297.63,298.87,20281860
19/03/24,00:00,298.3,299.4,294.21,295.2,59714940
20/03/24,00:00,295.3,296.88,293.52,295.4,30703230
21/03/24,00:00,295.99,297.3,291.8,295.62,70680800
22/03/24,00:00,295.77,296.79,291.05,292.99,48982100
25/03/24,00:00,294.0,294.93,292.13,293.9,25567820
26/03/24,00:00,294.5,295.82,293.04,294.11,16295560
27/03/24,00:00,294.47,295.11,293.47,295.1,14560090
28/03/24,00:00,295.5,299.3,295.5,299.0,33675160
29/03/24,00:00,299.38,299.5,298.0,298.72,17705950
01/04/24,00:00,300.0,301.65,299.5,300.43,28662870
02/04/24,00:00,300.43,300.99,298.95,300.38,19980460
03/04/24,00:00,300.4,307.13,300.17,306.72,58228980
04/04/24,00:00,306.8,307.77,304.36,304.61,29074900
05/04/24,00:00,304.62,306.5,303.7,306.1,19355990
08/04/24,00:00,306.5,308.6,306.22,307.75,24899610
09/04/24,00:00,308.1,309.35,305.51,306.76,32044440
10/04/24,00:00,306.76,307.14,304.62,306.48,20682180
11/04/24,00:00,306.7,308.0,305.7,306.95,20527000
12/04/24,00:00,307.4,307.87,306.3,307.1,16025300
15/04/24,00:00,307.47,308.39,306.64,307.99,20746510
16/04/24,00:00,308.0,308.65,307.0,308.29,17135850
17/04/24,00:00,308.65,309.74,305.91,306.59,28227330
18/04/24,00:00,306.01,308.29,305.05,307.99,20387560
19/04/24,00:00,308.0,308.38,306.8,307.38,14578320
22/04/24,00:00,308.0,315.0,307.38,314.99,69006740
23/04/24,00:00,315.39,315.79,306.26,307.39,92863630
24/04/24,00:00,307.5,309.79,306.65,307.94,26557490
25/04/24,00:00,307.95,309.07,307.45,308.41,15946760
26/04/24,00:00,308.5,309.9,308.0,309.0,21146360
27/04/24,00:00,309.25,309.99,308.7,308.98,13111060
29/04/24,00:00,309.14,309.6,307.65,308.97,10025690
30/04/24,00:00,309.19,309.49,308.03,308.24,5980690
02/05/24,00:00,308.7,309.19,306.8,307.37,16262520
03/05/24,00:00,307.11,308.29,304.34,307.53,30466990
06/05/24,00:00,308.1,308.1,305.55,306.01,19203550
07/05/24,00:00,306.23,308.87,306.21,308.22,16616810
08/05/24,00:00,308.41,311.83,308.08,311.21,33881400
10/05/24,00:00,311.5,313.5,311.31,313.49,16715650
13/05/24,00:00,314.1,315.7,314.04,314.85,21712460
14/05/24,00:00,315.0,318.41,313.58,318.12,35247320
15/05/24,00:00,318.2,320.16,317.7,319.7,28351820
16/05/24,00:00,320.0,322.91,320.0,322.91,27847220
17/05/24,00:00,322.96,323.5,320.02,323.16,24398590
20/05/24,00:00,324.0,324.85,318.94,321.08,36736790
21/05/24,00:00,320.88,322.23,318.0,320.64,34019460
22/05/24,00:00,320.8,323.1,320.8,322.93,18651840
23/05/24,00:00,322.8,324.0,321.23,323.54,17865490
24/05/24,00:00,323.83,324.48,319.78,321.0,26594700
27/05/24,00:00,321.01,321.95,315.5,317.09,45712960
28/05/24,00:00,317.5,320.9,315.82,318.22,30187790
29/05/24,00:00,318.25,320.4,315.92,320.38,22989260
30/05/24,00:00,320.91,321.55,316.0,316.63,27005390
31/05/24,00:00,316.0,318.49,309.8,313.11,49206450
03/06/24,00:00,313.5,315.5,305.0,310.95,61860770
04/06/24,00:00,310.98,316.5,308.8,316.49,33070240
05/06/24,00:00,316.63,318.28,313.85,314.72,27792110
06/06/24,00:00,314.7,316.45,311.15,313.08,28328920
07/06/24,00:00,313.8,320.64,312.73,319.9,44484260
10/06/24,00:00,320.8,321.98,315.21,317.28,26344630
11/06/24,00:00,317.5,319.84,315.88,317.8,20064950
13/06/24,00:00,305.7,317.82,304.14,317.71,41281520
14/06/24,00:00,317.8,320.7,316.2,319.35,21488970
17/06/24,00:00,320.0,320.45,316.85,317.65,15476190
18/06/24,00:00,317.65,318.0,313.02,314.34,22024090
19/06/24,00:00,314.38,314.78,307.51,310.7,42183660
20/06/24,00:00,310.7,314.72,306.02,314.15,72789950
21/06/24,00:00,315.0,316.0,312.6,314.14,29116600
24/06/24,00:00,314.7,319.0,314.14,317.25,29607080
25/06/24,00:00,317.5,319.89,316.28,319.8,25978180
26/06/24,00:00,320.1,324.56,319.8,324.55,42491110
27/06/24,00:00,324.8,327.83,322.63,327.16,46771370
28/06/24,00:00,327.87,329.3,325.8,327.15,40451800
01/07/24,00:00,327.64,329.0,326.25,327.1,31710510
02/07/24,00:00,327.35,328.87,326.82,328.37,21155650
03/07/24,00:00,328.58,330.45,327.0,328.2,32156700
04/07/24,00:00,328.39,329.57,323.81,324.66,40766110
05/07/24,00:00,324.71,327.0,321.01,325.0,40433010
08/07/24,00:00,325.76,327.44,323.74,324.07,27756900
09/07/24,00:00,324.3,325.33,317.5,319.99,54199810
10/07/24,00:00,319.0,320.3,314.3,316.68,88512550
11/07/24,00:00,289.96,296.98,285.22,295.87,168030600
12/07/24,00:00,296.0,297.48,290.97,292.21,49999170
15/07/24,00:00,293.0,293.86,283.5,284.38,58737560
16/07/24,00:00,284.49,285.69,276.7,285.25,82870860
17/07/24,00:00,285.84,289.96,283.23,284.68,42824670
18/07/24,00:00,284.68,289.99,282.73,289.83,34090360
19/07/24,00:00,290.67,292.58,289.2,289.9,31022060
22/07/24,00:00,291.0,294.95,291.0,294.71,33386610
23/07/24,00:00,295.47,295.48,293.36,294.39,22190840
24/07/24,00:00,294.39,296.67,293.2,295.69,24565710
25/07/24,00:00,295.69,297.3,294.2,296.37,22868740
26/07/24,00:00,296.4,300.0,292.67,293.3,84909830
29/07/24,00:00,293.0,293.0,286.0,286.58,52445850
30/07/24,00:00,286.5,291.99,284.32,290.0,42572480
31/07/24,00:00,290.47,291.2,288.01,289.3,25974520
01/08/24,00:00,289.87,290.69,287.04,287.21,18646450
02/08/24,00:00,287.21,287.99,284.37,286.04,30086580
05/08/24,00:00,282.79,283.46,275.17,275.49,82141460
06/08/24,00:00,277.01,281.16,276.35,279.4,43600150
07/08/24,00:00,280.0,283.27,277.21,282.2,48494490
08/08/24,00:00,283.4,285.42,280.0,281.09,42425830
09/08/24,00:00,281.0,282.67,279.62,281.44,22302730
12/08/24,00:00,280.01,281.5,278.03,280.74,27767330
13/08/24,00:00,281.05,284.33,280.42,283.92,24058790
14/08/24,00:00,284.3,284.7,280.12,280.32,21757040
15/08/24,00:00,280.5,280.85,276.73,278.01,28665290
16/08/24,00:00,278.05,279.0,274.32,274.6,26195850
19/08/24,00:00,275.0,275.56,265.02,268.17,68626200
20/08/24,00:00,268.35,269.49,263.36,266.2,54276130
21/08/24,00:00,266.2,267.8,263.86,266.93,37127480
22/08/24,00:00,266.93,268.5,260.15,261.6,47907530
23/08/24,00:00,261.61,262.8,255.56,259.5,76719180
26/08/24,00:00,263.55,266.95,261.54,265.39,49974250
27/08/24,00:00,265.83,266.07,259.82,260.5,32345170
28/08/24,00:00,259.9,262.47,254.99,262.47,47867970
29/08/24,00:00,262.58,264.19,258.36,260.31,34802250
30/08/24,00:00,260.5,261.8,254.0,254.45,46118490
02/09/24,00:00,254.03,254.2,242.65,244.31,97662430
03/09/24,00:00,244.4,250.0,240.01,244.04,105673360
04/09/24,00:00,244.51,253.5,242.8,253.01,70652080
05/09/24,00:00,255.0,258.17,251.11,252.82,78616830
06/09/24,00:00,253.01,255.35,250.31,254.77,41336330
09/09/24,00:00,256.32,263.45,255.3,263.31,66128940
10/09/24,00:00,264.61,264.61,258.7,261.29,57937830
11/09/24,00:00,260.31,262.0,257.5,258.2,38293710
12/09/24,00:00,257.8,258.68,252.85,254.93,46358080
13/09/24,00:00,255.19,259.92,248.75,258.25,111180360
16/09/24,00:00,259.64,264.37,257.8,263.79,52643180
17/09/24,00:00,264.12,267.0,260.55,265.99,57565620
18/09/24,00:00,265.73,267.99,263.15,263.4,43376640
19/09/24,00:00,263.94,266.19,262.32,264.5,35683170
20/09/24,00:00,264.52,269.21,264.5,269.08,38767000
23/09/24,00:00,269.3,273.8,269.3,273.17,49396850
24/09/24,00:00,273.9,273.94,270.5,272.92,36984140
25/09/24,00:00,272.92,273.8,267.3,267.8,43803870
26/09/24,00:00,267.54,269.76,265.41,267.88,31888540
27/09/24,00:00,268.9,269.7,267.17,268.07,18889430
30/09/24,00:00,269.26,272.33,268.14,268.49,42519740
01/10/24,00:00,267.6,268.68,264.0,266.29,52125800
02/10/24,00:00,266.01,268.0,258.52,259.31,46519200
03/10/24,00:00,259.31,264.49,257.2,264.25,56534560
04/10/24,00:00,264.96,265.44,262.11,264.09,25992290
07/10/24,00:00,264.25,267.0,261.37,263.39,28940600
08/10/24,00:00,263.0,263.8,261.89,262.4,16163780
09/10/24,00:00,262.42,263.8,259.59,260.86,25021350
10/10/24,00:00,260.88,261.64,258.91,259.98,17677230
11/10/24,00:00,259.8,260.07,256.8,256.94,24848580
14/10/24,00:00,256.15,263.91,254.1,261.28,64205680
15/10/24,00:00,260.94,263.7,259.84,262.03,26247370
16/10/24,00:00,262.05,264.72,258.45,259.5,40206260
17/10/24,00:00,259.5,260.45,256.03,256.57,24658790
18/10/24,00:00,256.21,258.9,254.41,257.19,30020250
21/10/24,00:00,257.3,259.85,256.78,258.21,21471680
